timestamp_ms,direction,msg_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
5800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
6000,TX,0x100,8,31,00,DB,03,95,0F,C7,00
6000,TX,0x101,6,CA,00,CF,00,00,00,CC,CC
6000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
6200,TX,0x100,8,2B,00,DB,03,9C,0F,C3,00
6200,TX,0x101,6,CA,00,D2,00,00,00,CC,CC
6200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
6400,TX,0x100,8,23,00,DB,03,9F,0F,C5,00
6400,TX,0x101,6,C7,00,D3,00,00,00,CC,CC
6400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
6600,TX,0x100,8,1E,00,DA,03,94,0F,C9,00
6600,TX,0x101,6,C9,00,D2,00,00,00,CC,CC
6600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
6800,TX,0x100,8,19,00,DA,03,98,0F,C2,00
6800,TX,0x101,6,C7,00,D4,00,00,00,CC,CC
6800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
7000,TX,0x100,8,12,00,D9,03,A2,0F,D4,00
7000,TX,0x101,6,C4,00,D0,00,00,00,CC,CC
7000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
7200,TX,0x100,8,0E,00,D9,03,99,0F,BF,00
7200,TX,0x101,6,C8,00,D1,00,00,00,CC,CC
7200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
7400,TX,0x100,8,09,00,D9,03,9B,0F,C9,00
7400,TX,0x101,6,C8,00,D5,00,00,00,CC,CC
7400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
7600,TX,0x100,8,09,00,D8,03,95,0F,EE,00
7600,TX,0x101,6,C8,00,D9,00,00,00,CC,CC
7600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
7800,TX,0x100,8,09,00,D8,03,9E,0F,18,01
7800,TX,0x101,6,CA,00,CF,00,00,00,CC,CC
7800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
8000,TX,0x100,8,0A,00,D7,03,96,0F,36,01
8000,TX,0x101,6,CC,00,D1,00,00,00,CC,CC
8000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
8200,TX,0x100,8,0A,00,D7,03,99,0F,49,01
8200,TX,0x101,6,C8,00,D1,00,00,00,CC,CC
8200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
8400,TX,0x100,8,0A,00,D6,03,9A,0F,5B,01
8400,TX,0x101,6,C8,00,D6,00,00,00,CC,CC
8400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
8600,TX,0x100,8,0C,00,D6,03,9B,0F,86,01
8600,TX,0x101,6,C4,00,D4,00,00,00,CC,CC
8600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
8800,TX,0x100,8,0C,00,D5,03,96,0F,89,01
8800,TX,0x101,6,CA,00,D7,00,00,00,CC,CC
8800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
9000,TX,0x100,8,0D,00,D4,03,98,0F,A2,01
9000,TX,0x101,6,CA,00,D1,00,00,00,CC,CC
9000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
9200,TX,0x100,8,0D,00,D4,03,94,0F,AB,01
9200,TX,0x101,6,C7,00,D1,00,00,00,CC,CC
9200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
9400,TX,0x100,8,0E,00,D3,03,94,0F,B5,01
9400,TX,0x101,6,C9,00,D1,00,00,00,CC,CC
9400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
9600,TX,0x100,8,0D,00,D2,03,91,0F,C9,01
9600,TX,0x101,6,C5,00,D3,00,00,00,CC,CC
9600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
9800,TX,0x100,8,0E,00,D2,03,89,0F,DE,01
9800,TX,0x101,6,C6,00,DA,00,00,00,CC,CC
9800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
10000,TX,0x100,8,0F,00,D1,03,95,0F,F1,01
10000,TX,0x101,6,C2,00,D1,00,00,00,CC,CC
10000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
10200,TX,0x100,8,0F,00,D0,03,A0,0F,06,02
10200,TX,0x101,6,C7,00,D0,00,00,00,CC,CC
10200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
10400,TX,0x100,8,0F,00,CF,03,98,0F,11,02
10400,TX,0x101,6,CA,00,D9,00,00,00,CC,CC
10400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
10600,TX,0x100,8,11,00,CF,03,89,0F,FD,01
10600,TX,0x101,6,C7,00,D2,00,00,00,CC,CC
10600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
10800,TX,0x100,8,10,00,CE,03,97,0F,20,02
10800,TX,0x101,6,C9,00,D7,00,00,00,CC,CC
10800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
11000,TX,0x100,8,11,00,CD,03,94,0F,1D,02
11000,TX,0x101,6,C5,00,DA,00,00,00,CC,CC
11000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
11200,TX,0x100,8,11,00,CC,03,93,0F,43,02
11200,TX,0x101,6,CA,00,D7,00,00,00,CC,CC
11200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
11400,TX,0x100,8,11,00,CB,03,88,0F,47,02
11400,TX,0x101,6,C6,00,DB,00,00,00,CC,CC
11400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
11600,TX,0x100,8,12,00,CB,03,98,0F,29,02
11600,TX,0x101,6,C6,00,D8,00,00,00,CC,CC
11600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
11800,TX,0x100,8,12,00,CA,03,91,0F,3D,02
11800,TX,0x101,6,C9,00,DC,00,00,00,CC,CC
11800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
12000,TX,0x100,8,13,00,C9,03,92,0F,54,02
12000,TX,0x101,6,C8,00,DB,00,00,00,CC,CC
12000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
12200,TX,0x100,8,13,00,C8,03,91,0F,51,02
12200,TX,0x101,6,CA,00,DA,00,00,00,CC,CC
12200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
12400,TX,0x100,8,13,00,C7,03,91,0F,57,02
12400,TX,0x101,6,CA,00,DC,00,00,00,CC,CC
12400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
12600,TX,0x100,8,14,00,C6,03,8C,0F,4B,02
12600,TX,0x101,6,C6,00,DF,00,00,00,CC,CC
12600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
12800,TX,0x100,8,14,00,C6,03,88,0F,5E,02
12800,TX,0x101,6,C7,00,DD,00,00,00,CC,CC
12800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
13000,TX,0x100,8,15,00,C5,03,93,0F,5C,02
13000,TX,0x101,6,C3,00,DE,00,00,00,CC,CC
13000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
13200,TX,0x100,8,15,00,C4,03,91,0F,68,02
13200,TX,0x101,6,C8,00,D7,00,00,00,CC,CC
13200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
13400,TX,0x100,8,15,00,C3,03,90,0F,6C,02
13400,TX,0x101,6,CA,00,DF,00,00,00,CC,CC
13400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
13600,TX,0x100,8,16,00,C2,03,8E,0F,65,02
13600,TX,0x101,6,C8,00,E2,00,00,00,CC,CC
13600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
13800,TX,0x100,8,1E,00,C1,03,99,0F,8E,02
13800,TX,0x101,6,C6,00,E2,00,00,00,CC,CC
13800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
14000,TX,0x100,8,26,00,C0,03,88,0F,9E,02
14000,TX,0x101,6,C8,00,DF,00,00,00,CC,CC
14000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
14200,TX,0x100,8,2E,00,BF,03,8F,0F,C3,02
14200,TX,0x101,6,C7,00,E2,00,00,00,CC,CC
14200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
14400,TX,0x100,8,35,00,BE,03,95,0F,CD,02
14400,TX,0x101,6,C6,00,DD,00,00,00,CC,CC
14400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
14600,TX,0x100,8,3B,00,BD,03,91,0F,DE,02
14600,TX,0x101,6,C6,00,E6,00,00,00,CC,CC
14600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
14800,TX,0x100,8,43,00,BC,03,89,0F,08,03
14800,TX,0x101,6,C9,00,E3,00,00,00,CC,CC
14800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
15000,TX,0x100,8,49,00,BB,03,89,0F,0C,03
15000,TX,0x101,6,C7,00,E5,00,00,00,CC,CC
15000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
15200,TX,0x100,8,4E,00,BA,03,8C,0F,21,03
15200,TX,0x101,6,CB,00,E1,00,00,00,CC,CC
15200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
15400,TX,0x100,8,55,00,B9,03,8A,0F,44,03
15400,TX,0x101,6,C6,00,E3,00,00,00,CC,CC
15400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
15600,TX,0x100,8,5A,00,B8,03,88,0F,4E,03
15600,TX,0x101,6,C4,00,EA,00,00,00,CC,CC
15600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
15800,TX,0x100,8,5F,00,B7,03,7D,0F,4E,03
15800,TX,0x101,6,C5,00,E7,00,00,00,CC,CC
15800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
16000,TX,0x100,8,64,00,B6,03,88,0F,63,03
16000,TX,0x101,6,C7,00,E5,00,00,00,CC,CC
16000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
16200,TX,0x100,8,69,00,B5,03,88,0F,5F,03
